,Decimal Latitude,Decimal Longitude,Catalog Number,Scientific Name,Family,Identified By,Collector,Collector Number,Event Date,Continent,Country,State/Province,County,Locality,Habitat,Collection Code,Institution Code,Modified,ID,Occurrence ID,Collection,Image Size,File Size,Record,Link to this Item,Manifest,Full citation,Geodetic Datum,In public portfolios,Species Header,Accepted Name,Collector and Date,Location,Notes,Type Status,Publication
0,,,1431715,"
Cabomba caroliniana
",Cabombaceae,,Ted Bradley,3610,1966-10-11,North America,USA,North Carolina,Pender,"Northeast Cape Fear River, near bridge of N.C. 210, e. of Rocky Point.",In shallow water.,Angiosperms,MICH,2018-12-24,f050b79d-d3b5-41dc-a61a-b8586db91304,f050b79d-d3b5-41dc-a61a-b8586db91304,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,414 KB,1431715,"

https://quod.lib.umich.edu/h/herb00ic/x-1431715/mich-v-1431715

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431715:MICH-V-1431715

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431715/mich-v-1431715.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431716,"
Cabomba caroliniana
",Cabombaceae,,R. Dale Thomas,13701,1969-05-16,North America,USA,Louisiana,Ouachita,"Cheniere Lake, Area 7, W. of West Monroe.",,Angiosperms,MICH,2018-12-24,7fb5e1a3-9475-41df-a179-d36c6ca350d7,7fb5e1a3-9475-41df-a179-d36c6ca350d7,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,581 KB,1431716,"

https://quod.lib.umich.edu/h/herb00ic/x-1431716/mich-v-1431716

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431716:MICH-V-1431716

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431716/mich-v-1431716.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431717,"
Cabomba caroliniana
",Cabombaceae,,Auguste B. Langlois,s.n.,1892-09-15,North America,USA,Louisiana,St. Tammany,Tchiffoute River.,,Angiosperms,MICH,2018-12-24,4326e2b2-c26a-4964-aca3-7c65a680fc6b,4326e2b2-c26a-4964-aca3-7c65a680fc6b,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,525 KB,1431717,"

https://quod.lib.umich.edu/h/herb00ic/x-1431717/mich-v-1431717

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431717:MICH-V-1431717

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431717/mich-v-1431717.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431718,"
Cabomba caroliniana
",Cabombaceae,,James B. McFarlin,6291,1931-07-29,North America,USA,Florida,Polk,Tiger Lake.,,Angiosperms,MICH,2018-12-24,3ef465d4-581a-40c5-87ac-07e70d3e80c4,3ef465d4-581a-40c5-87ac-07e70d3e80c4,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,464 KB,1431718,"

https://quod.lib.umich.edu/h/herb00ic/x-1431718/mich-v-1431718

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431718:MICH-V-1431718

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431718/mich-v-1431718.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431719,"
Cabomba caroliniana
",Cabombaceae,,G. L. Webster & K. I. Miller,4299,1952-07-06,North America,USA,Texas,Hays,San Marcos. Shallow pond near springs at head of San Marcos River.,Shallow pond near springs at head of river.,Angiosperms,MICH,2018-12-24,91e1a8f6-ee34-44c3-98e5-df3cfe9976f0,91e1a8f6-ee34-44c3-98e5-df3cfe9976f0,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,806 KB,1431719,"

https://quod.lib.umich.edu/h/herb00ic/x-1431719/mich-v-1431719

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431719:MICH-V-1431719

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431719/mich-v-1431719.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431720,"
Cabomba caroliniana
",Cabombaceae,,Norman C. Fassett,29064,1953-09-24,North America,USA,Texas,Hays,San Marcos. In the big spring.,"In the big spring, often with fully open flowers submerged.",Angiosperms,MICH,2018-12-24,18810fba-09b1-4239-8f09-6bbfba7dabb4,18810fba-09b1-4239-8f09-6bbfba7dabb4,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,424 KB,1431720,"

https://quod.lib.umich.edu/h/herb00ic/x-1431720/mich-v-1431720

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431720:MICH-V-1431720

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431720/mich-v-1431720.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431721,"
Cabomba caroliniana
",Cabombaceae,,C. Barre Hellquist,4497,1972-09-17,North America,USA,Massachusetts,Worcester,Brookfield River. East Brookfield.,,Angiosperms,MICH,2018-12-24,1210ffca-fe73-4d97-b222-d48564eb22a2,1210ffca-fe73-4d97-b222-d48564eb22a2,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,593 KB,1431721,"

https://quod.lib.umich.edu/h/herb00ic/x-1431721/mich-v-1431721

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431721:MICH-V-1431721

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431721/mich-v-1431721.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431722,"
Cabomba caroliniana
",Cabombaceae,,C. Barre Hellquist,4491,1972-09-10,North America,USA,Massachusetts,Middlesex,"Sudbury River, Central Street, Framingham.",,Angiosperms,MICH,2018-12-24,47775dfb-fd0d-4b16-86d3-cece23980394,47775dfb-fd0d-4b16-86d3-cece23980394,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,619 KB,1431722,"

https://quod.lib.umich.edu/h/herb00ic/x-1431722/mich-v-1431722

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431722:MICH-V-1431722

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431722/mich-v-1431722.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431723,"
Cabomba caroliniana
",Cabombaceae,,James W. Hardin,417,1955-04-05,North America,USA,Mississippi,Marshall,Spring Lake State Park south of Holly Springs.,,Angiosperms,MICH,2018-12-24,b7045a60-60c0-40d6-b724-4ce6af482a4e,b7045a60-60c0-40d6-b724-4ce6af482a4e,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,466 KB,1431723,"

https://quod.lib.umich.edu/h/herb00ic/x-1431723/mich-v-1431723

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431723:MICH-V-1431723

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431723/mich-v-1431723.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431724,"
Cabomba caroliniana
",Cabombaceae,,James B. McFarlin,3649,1930-11-17,North America,USA,Florida,Pasco,Dade City.,Floating in shallow water.,Angiosperms,MICH,2018-12-24,f2eb60f5-b22d-47e5-a5a3-a80a913ef476,f2eb60f5-b22d-47e5-a5a3-a80a913ef476,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,622 KB,1431724,"

https://quod.lib.umich.edu/h/herb00ic/x-1431724/mich-v-1431724

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431724:MICH-V-1431724

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431724/mich-v-1431724.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,32.7488560000,-80.8597500000,1431725,"
Cabomba caroliniana
",Cabombaceae,,"Rolla M. Tryon, Jr. & Robert K. Godfrey",1479,1939-08-14,North America,USA,South Carolina,Colleton,1 mile southwest of Combahee River & 17 miles south of Walterboro.,Pure stand in artificial pond.,Angiosperms,MICH,2022-5-09,f88ef417-f786-4a40-afb1-4477d505f78c,f88ef417-f786-4a40-afb1-4477d505f78c,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,471 KB,1431725,"

https://quod.lib.umich.edu/h/herb00ic/x-1431725/mich-v-1431725

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431725:MICH-V-1431725

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431725/mich-v-1431725.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",WGS84,,,,,,,,
0,,,1431726,"
Cabomba caroliniana
",Cabombaceae,,B.B. Harris,3192,1931-05-14,North America,USA,Texas,Marion,Caddo Lake.,Shallow margin water.,Angiosperms,MICH,2018-12-24,8fb56bbe-bb3c-4800-9092-4a784f0221e2,8fb56bbe-bb3c-4800-9092-4a784f0221e2,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,636 KB,1431726,"

https://quod.lib.umich.edu/h/herb00ic/x-1431726/mich-v-1431726

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431726:MICH-V-1431726

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431726/mich-v-1431726.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1431727,"
Cabomba caroliniana
",Cabombaceae,,Charles Williamson,s.n.,1895-07,North America,USA,North Carolina,New Hanover,Wilmington.,,Angiosperms,MICH,2018-12-24,7ccb4565-dba8-4206-9505-1f92c6ccbefb,7ccb4565-dba8-4206-9505-1f92c6ccbefb,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,452 KB,1431727,"

https://quod.lib.umich.edu/h/herb00ic/x-1431727/mich-v-1431727

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1431727:MICH-V-1431727

content_copy


","


""Cabomba caroliniana"". 
https://quod.lib.umich.edu/h/herb00ic/x-1431727/mich-v-1431727.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,,,1102786,"
Myriophyllum spicatum
",Haloragaceae,Anton A. Reznicek,Janet K. Marr,4066,2013-09-17,North America,USA,Michigan,Keweenaw,Keweenaw Bay Indian Community tribal marina.,,Angiosperms,MICH,2016-3-11,962aa478-b1c8-4b86-9646-8f5b9839df0d,962aa478-b1c8-4b86-9646-8f5b9839df0d,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,841 KB,1102786,"

https://quod.lib.umich.edu/h/herb00ic/x-1102786/mich-v-1102786

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1102786:MICH-V-1102786

content_copy


","


""Myriophyllum spicatum"". 
https://quod.lib.umich.edu/h/herb00ic/x-1102786/mich-v-1102786.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",NAD 83,,,,,,,,
0,47.1219400000,-88.5688900000,1102809,Myriophyllum sibiricum × spicatum,Haloragaceae,Anton A. Reznicek,Janet K. Marr,4001,2013-08-07,North America,USA,Michigan,Houghton,"Portage Canal, just west of Hancock/Houghton lift bridge, north shore. Porvoo Park.",,Angiosperms,MICH,2016-3-12,931a31e9-fdd2-47bc-9ba2-d6088676ca66,931a31e9-fdd2-47bc-9ba2-d6088676ca66,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,603 KB,1102809,"

https://quod.lib.umich.edu/h/herb00ic/x-1102809/mich-v-1102809

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1102809:MICH-V-1102809

content_copy


","


""Myriophyllum sibiricum × spicatum"". 
https://quod.lib.umich.edu/h/herb00ic/x-1102809/mich-v-1102809.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",NAD 83,,,,,,,,
0,,,1173148,Stuckenia pectinata,Potamogetonaceae,,Theodore S. Cochrane & Barbara A. Cochrane,6024,1974-06-30,North America,USA,Wisconsin,Jefferson,"Rome Pond, 1mi NE Rome","Submerged aquatics in medium hard calcareous water 90 cm deep | the bottom very loose, of 43-cm deep,organic-silt ooze | Potamogeton pectinatus, P. zosteriformis, P. friesii, P. crispus, Myriophyllum spicatum, Ceratophyllum demersum, Ranunculus longirostris. Elodea canadensis, Utricularia vulgaris, Lemna minor, L. trisulca, Spirodela polyrhiza. Wolffia",Angiosperms,MICH,2018-12-26,eb3b7489-a44f-411e-a1c6-d35e8cb377e0,eb3b7489-a44f-411e-a1c6-d35e8cb377e0,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,1 MB,1173148,"

https://quod.lib.umich.edu/h/herb00ic/x-1173148/mich-v-1173148

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1173148:MICH-V-1173148

content_copy


","


""Stuckenia pectinata"". 
https://quod.lib.umich.edu/h/herb00ic/x-1173148/mich-v-1173148.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,46.2492300000,-89.2866300000,1188230,"
Myriophyllum spicatum
",Haloragaceae,"Robin W. Scribailo, Mitchell S. Alix",Ian Shackleford,586,2004-06-04,North America,USA,Michigan,Gogebic,Boat launch of Crooked Lake. T45N R40W section 34 SE1/4,Submerged in 5 to 10 feet of water.,Angiosperms,MICH,2018-4-16,49e95d4a-1bbb-4dd8-99d3-f965dc8dadbc,49e95d4a-1bbb-4dd8-99d3-f965dc8dadbc,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,743 KB,1188230,"

https://quod.lib.umich.edu/h/herb00ic/x-1188230/mich-v-1188230

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1188230:MICH-V-1188230

content_copy


","


""Myriophyllum spicatum"". 
https://quod.lib.umich.edu/h/herb00ic/x-1188230/mich-v-1188230.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,46.2821400000,-89.5680400000,1188231,"
Myriophyllum spicatum
",Haloragaceae,,Ian Shackleford,604,2004-07-15,North America,USA,Michigan,Gogebic,"Pomeroy Lake, at the boat launch.  Pomeroy Lake T45N R42W sec 21 NWSW.  Northeast bay of lake.",growing in 5-10 feet of water off the boat launch  Murkey water due to algae. Few aquatic plants. Sandy lake bottom with shallow muck layer.,Angiosperms,MICH,2016-3-11,5bf1f879-6d87-4c85-ac15-6644071ac256,5bf1f879-6d87-4c85-ac15-6644071ac256,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,768 KB,1188231,"

https://quod.lib.umich.edu/h/herb00ic/x-1188231/mich-v-1188231

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1188231:MICH-V-1188231

content_copy


","


""Myriophyllum spicatum"". 
https://quod.lib.umich.edu/h/herb00ic/x-1188231/mich-v-1188231.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,46.2619700000,-89.4107100000,1188232,"
Myriophyllum spicatum
",Haloragaceae,"Robin W. Scribailo, Mitchell S. Alix",Ian Shackleford,605,2004-07-15,North America,USA,Michigan,Gogebic,"Clearwater Lake boat launch, at the north end of lake. T45N R41W sec 27 NENE.",In clear water 5 to 10 feet deep. With Potamogeton spp. and other submerged aquatic plants.,Angiosperms,MICH,2018-4-16,b3ea598b-857c-44d1-b8e4-0cd8ee47df7a,b3ea598b-857c-44d1-b8e4-0cd8ee47df7a,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,825 KB,1188232,"

https://quod.lib.umich.edu/h/herb00ic/x-1188232/mich-v-1188232

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1188232:MICH-V-1188232

content_copy


","


""Myriophyllum spicatum"". 
https://quod.lib.umich.edu/h/herb00ic/x-1188232/mich-v-1188232.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,48.0500000000,-88.6666700000,1223068,Myriophyllum alterniflorum,Haloragaceae,"Robin W. Scribailo, Mitchell S. Alix",Carl O. Grassl,7783,1931-08-20,North America,USA,Michigan,Keweenaw,Isle Royale.,With M. spicatum in Rock Hbr.,Angiosperms,MICH,2019-3-12,5622e630-225c-42f1-9892-1e9cffec7506,5622e630-225c-42f1-9892-1e9cffec7506,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,335 KB,1223068,"

https://quod.lib.umich.edu/h/herb00ic/x-1223068/mich-v-1223068_1

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1223068:MICH-V-1223068_1

content_copy


","


""Myriophyllum alterniflorum"". 
https://quod.lib.umich.edu/h/herb00ic/x-1223068/mich-v-1223068_1.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
0,48.0500000000,-88.6666700000,1223068,Myriophyllum alterniflorum,Haloragaceae,"Robin W. Scribailo, Mitchell S. Alix",Carl O. Grassl,7783,1931-08-20,North America,USA,Michigan,Keweenaw,Isle Royale.,With M. spicatum in Rock Hbr.,Angiosperms,MICH,2019-3-12,5622e630-225c-42f1-9892-1e9cffec7506,5622e630-225c-42f1-9892-1e9cffec7506,"
University of Michigan Herbarium Catalog Collection
",3753 x 5634,337 KB,1223068,"

https://quod.lib.umich.edu/h/herb00ic/x-1223068/mich-v-1223068_2

content_copy


","

https://quod.lib.umich.edu/cgi/i/image/api/manifest/herb00ic:1223068:MICH-V-1223068_2

content_copy


","


""Myriophyllum alterniflorum"". 
https://quod.lib.umich.edu/h/herb00ic/x-1223068/mich-v-1223068_2.
 University of Michigan Library Digital Collections. Accessed February 11, 2023.


content_copy


",,,,,,,,,
